project,MERGES_BEFORE,MERGES_AFTER,total_merges,MERGE_EFFORT_BEFORE,MERGE_EFFORT_AFTER,ISSUES_BEFORE,ISSUES_AFTER,total_issues,TOTAL_TIME_BEFORE,TOTAL_TIME_AFTER,LOC_BEFORE,LOC_AFTER,QT_COMMIT_BEFORE,QT_COMMIT_AFTER,NUM_MERGES_PER_100_COMMITS_BEFORE,NUM_MERGES_PER_100_COMMITS_AFTER,AVERAGE_EFFORT_PER_MERGE_BEFORE,AVERAGE_EFFORT_PER_MERGE_AFTER,TOTAL_AVG_MERGE_EFFORT_IN_100_COMMITS_BEFORE,TOTAL_AVG_MERGE_EFFORT_IN_100_COMMITS_AFTER,AVG_K_LOC_PER_COMMIT_BEFORE,AVG_K_LOC_PER_COMMIT_AFTER,ISSUES_KLOC_IN_100_COMMITS_BEFORE,ISSUES_KLOC_IN_100_COMMITS_AFTER,AVG_TIME_PER_ISSUES_BEFORE,AVG_TIME_PER_ISSUES_AFTER,TOTAL_TIME_PER_KLOC_IN_100_COMMITS_BEFORE,TOTAL_TIME_PER_KLOC_IN_100_COMMITS_AFTER
peachpiecompiler/peachpie,15,28,43,0,9,4,86,90,0,1296,1961828648,212955563,1634,1634,0.9179926560587516,1.7135862913096696,0.0,0.32142857142857145,0.0,0.550795593635251,1200.6295275397797,130.32776193390453,0.0002038914053007549,0.04038401194525264,0.0,15.069767441860465,0.0,0.6085776683842723
neo-project/neo,5,0,5,2,0,4,87,91,0,2554,2851362,3414871,202,202,2.4752475247524752,0.0,0.4,0.0,0.9900990099009901,0.0,14.115653465346535,16.905301980198022,0.14028383628595736,2.547680424824246,0.0,29.35632183908046,0.0,74.7905264942658
liangxiegame/QFramework,5,8,13,0,72,3,3,6,346,11,8331575,18802976,282,282,1.7730496453900708,2.8368794326241136,0.0,9.0,0.0,25.53191489361702,29.54459219858156,66.67721985815602,0.03600759760309425,0.015954921178434733,115.33333333333333,3.6666666666666665,4.152876256890204,0.058501377654260694
microsoft/MixedRealityToolkit-Unity,205,207,412,4955,23506,306,550,933,6471,69112,110416545,309204537,2041,2041,10.044096031357178,10.142087212150907,24.170731707317074,113.55555555555556,242.77315041646253,1151.6903478686918,54.099238118569325,151.49658843704069,0.27713238084020836,0.17787578582651908,21.147058823529413,125.65818181818182,5.860534759532641,22.3515478364407
aelij/RoslynPad,6,6,12,0,0,21,44,70,391,4461,2002171,3519516,150,150,4.0,4.0,0.0,0.0,0.0,0.0,13.347806666666667,23.463440000000002,1.0488614608842102,1.2501718986360624,18.61904761904762,101.38636363636364,19.52880148598696,126.75038272307896
permissions-dispatcher/PermissionsDispatcher,11,3,14,14,2,71,109,183,396,2429,1975399,3393692,290,290,3.793103448275862,1.0344827586206897,1.2727272727272727,0.6666666666666666,4.827586206896552,0.6896551724137931,6.811720689655172,11.702386206896552,3.594210587329446,3.2118412631435023,5.577464788732394,22.28440366972477,20.046582994119166,71.57396723096852
f2prateek/dart,3,0,3,567,0,25,39,65,976,912,501524,1091350,160,160,1.875,0.0,189.0,0.0,354.375,0.0,3.134525,6.820937499999999,4.984806310366005,3.57355568790947,39.04,23.384615384615383,194.60683835668883,83.56622531726761
sjwall/MaterialTapTargetPrompt,1,4,5,0,20,28,20,54,381,3631,671006,3215885,196,196,0.5102040816326531,2.0408163265306123,0.0,5.0,0.0,10.204081632653061,3.4234999999999998,16.407576530612246,4.1728389910075325,0.6219127860604468,13.607142857142858,181.55,56.78041627049535,112.90826630927411
ikarus23/MifareClassicTool,15,16,31,57,0,4,56,62,18,14954,1776744,2869232,305,305,4.918032786885246,5.245901639344262,3.8,0.0,18.688524590163933,0.0,5.825390163934426,9.407318032786884,0.2251309136262737,1.95174179013757,4.5,267.0357142857143,1.0130891113182316,521.1847630306646
aNNiMON/Lightweight-Stream-API,3,2,5,5,0,16,16,32,101,43,1522027,5006304,284,284,1.056338028169014,0.704225352112676,1.6666666666666667,0.0,1.76056338028169,0.0,5.35925,17.627830985915494,1.0512297088028004,0.31959705203679195,6.3125,2.6875,6.635887536817678,0.8589170773488785
