owner,name,createdAt,pushedAt,isMirror,diskUsage,primaryLanguage,languages,contributors,watchers,stargazers,forks,issues,commits,pullRequests,branches,tags,releases,description,project
NLua,NLua,3/6/2013 14:27,2/15/2021 3:06,FALSE,90237,C#,3,26,93,1330,250,310,589,98,2,42,25,Bridge between Lua and the .NET.,NLua/NLua
peachpiecompiler,peachpie,2/5/2016 16:22,8/22/2019 23:09,FALSE,62358,C#,8,21,109,1332,116,339,4641,156,2,38,26,PeachPie - the PHP compiler and runtime for .NET and .NET Core,peachpiecompiler/peachpie
neo-project,neo,5/31/2015 17:02,8/23/2019 13:18,FALSE,4284,C#,1,43,393,2870,894,481,734,562,5,10,0,NEO Smart Economy,neo-project/neo
liangxiegame,QFramework,2/5/2016 11:30,8/20/2019 12:49,FALSE,30907,C#,4,14,117,1180,346,50,1138,13,3,21,18,Your first K.I.S.S Unity 3D Framework.,liangxiegame/QFramework
microsoft,MixedRealityToolkit-Unity,1/28/2016 18:54,8/23/2019 3:12,FALSE,1088853,C#,7,1000,423,2894,1381,2960,7238,2797,31,39,37,MixedRealityToolkit-Unity uses code from the base MixedRealityToolkit repository and makes it easier to consume in Unity.,microsoft/MixedRealityToolkit-Unity
dotnetcore,WTM,5/24/2018 11:49,3/26/2021 16:59,FALSE,54733,C#,5,34,144,2892,657,284,2395,177,20,157,60,Use WTM to write .netcore app fast !!!,dotnetcore/WTM
sta,websocket-sharp,10/18/2010 12:51,8/7/2019 12:52,FALSE,16238,C#,4,6,267,3106,1008,481,3489,76,4,0,0,A C# implementation of the WebSocket protocol client and server,sta/websocket-sharp
aelij,RoslynPad,4/1/2015 17:42,3/7/2021 9:07,FALSE,7094,C#,2,19,90,1313,219,343,499,43,2,21,21,A cross-platform C# editor based on Roslyn and AvalonEdit,aelij/RoslynPad
FastReports,FastReport,10/25/2018 8:36,3/10/2021 12:47,FALSE,8228,C#,6,15,120,1455,310,172,256,105,5,16,16,Free Open Source Reporting tool for .NET5/.NET Core/.NET Framework that helps your application generate document-like reports,FastReports/FastReport
permissions-dispatcher,PermissionsDispatcher,8/15/2015 21:41,6/30/2019 15:18,FALSE,2832,Java,4,28,277,9285,1269,384,707,250,1,43,38,Simple annotation-based API to handle runtime permissions.,permissions-dispatcher/PermissionsDispatcher
f2prateek,dart,1/10/2014 1:19,7/2/2019 17:47,FALSE,3868,Java,3,20,41,1193,86,127,334,115,22,25,0,Extras binding and intent builders for Android apps.,f2prateek/dart
sjwall,MaterialTapTargetPrompt,6/5/2016 16:24,8/18/2019 12:14,FALSE,2621,Java,1,15,29,1193,183,136,482,28,4,59,59,Material Design tap target for Android. https://sjwall.github.io/MaterialTapTargetPrompt/,sjwall/MaterialTapTargetPrompt
ikarus23,MifareClassicTool,2/12/2013 15:39,8/18/2019 19:19,FALSE,4428,Java,4,28,153,1477,467,201,694,61,3,48,0,"An Android NFC app for reading, writing, analyzing, etc. MIFARE Classic RFID tags.",ikarus23/MifareClassicTool
aNNiMON,Lightweight-Stream-API,1/1/2015 17:43,5/30/2019 7:57,FALSE,1791,Java,1,19,49,1474,113,83,587,97,3,22,22,Stream API from Java 8 rewritten on iterators for Java 7 and below,aNNiMON/Lightweight-Stream-API
vipshop,Saturn,11/30/2016 8:06,7/24/2019 6:17,FALSE,30889,Java,10,32,199,1482,495,611,2453,11,16,27,20,The vip.com's distributed job scheduling platform.,vipshop/Saturn
openhab,openhab-addons,5/13/2014 19:41,3/27/2021 12:43,FALSE,248999,Java,12,305,219,1487,2884,3659,962,6710,3,41,4,Add-ons for openHAB,openhab/openhab-addons
lightbend,config,12/6/2011 8:02,8/20/2019 13:02,FALSE,4295,Java,3,90,217,4455,705,427,980,220,11,28,0,configuration library for JVM languages using HOCON files,lightbend/config
kyleduo,SwitchButton,9/9/2014 7:20,12/29/2020 6:47,FALSE,12138,Java,1,5,115,4432,853,115,173,14,5,0,0,A cute widget of Switch Button for  you to create beautiful and friendly UI.,kyleduo/SwitchButton
locationtech,jts,1/25/2016 18:08,3/20/2021 5:00,FALSE,38467,Java,5,43,65,1060,277,283,952,419,10,11,10,The JTS Topology Suite is a Java library for creating and manipulating vector geometry.,locationtech/jts
AnySoftKeyboard,AnySoftKeyboard,4/18/2012 12:38,8/21/2019 16:43,FALSE,131594,Java,8,42,91,1061,494,1272,4558,556,15,93,41,Android (f/w 2.1+) on screen keyboard for multiple languages (chat https://gitter.im/AnySoftKeyboard),AnySoftKeyboard/AnySoftKeyboard
jlegewie,zotfile,12/30/2011 14:47,3/25/2021 1:38,FALSE,10261,Java,4,36,40,1371,181,422,1083,99,2,32,29,"Zotero plugin to manage your attachments: automatically rename, move, and attach PDFs (or other files) to Zotero items, sync PDFs from your Zotero library to your (mobile) PDF reader (e.g. an iPad, Android tablet, etc.), and extract PDF annotations.",jlegewie/zotfile
ninjaframework,ninja,6/9/2012 21:06,7/29/2019 8:13,FALSE,43956,Java,6,67,217,1849,515,287,2075,381,9,100,0,"Ninja is a full stack web framework for Java. Rock solid, fast and super productive.",ninjaframework/ninja
noties,Markwon,5/18/2017 13:50,3/15/2021 11:58,FALSE,18011,Java,3,11,28,1722,209,279,510,65,5,33,33,Android markdown library (no WebView),noties/Markwon
vanniktech,Emoji,3/9/2016 16:01,1/19/2021 5:59,FALSE,87513,Java,4,22,49,1202,249,268,218,221,4,8,8,A simple library to add Emoji support to your Android Application,vanniktech/Emoji
